date,bodyweight,exercise,weight,reps,rir,notes,bw_pct,internal_weight,est_1RM
2025-10-08,55.9,Roman Chair Side Bend,6.0,10.0,,,0.3,16.77,12.8
2025-10-08,55.9,Roman Chair Side Bend,8.0,13.0,,,0.3,16.77,17.9
2025-10-08,55.9,Roman Chair Side Bend,10.0,13.0,,,0.3,16.77,20.7
2025-10-08,55.9,Roman Chair Side Bend,6.0,5.0,,,0.3,16.77,9.0
2025-10-08,55.9,Roman Chair Side Bend,2.0,8.0,,,0.3,16.77,6.4
2025-10-08,55.9,Smith Machine Incline Close Grip Push Up,,1.0,,"3, 20 cm.",1.0,55.9,-0.1
2025-10-08,55.9,Smith Machine Incline Close Grip Push Up,,4.0,,4,1.0,55.9,5.5
2025-10-08,55.9,Machine Back Extension,52.5,12.0,,,,,
2025-10-08,55.9,Machine Back Extension,60.0,6.0,,,,,
2025-10-08,55.9,Machine Back Extension,45.0,13.0,,,,,
2025-10-08,55.9,Machine Back Extension,22.0,13.0,,,,,
2025-10-02,55.2,Roman Chair Side Bend,6.5,15.0,,Dariau su kaire,0.3,16.56,17.2
2025-10-02,55.2,Roman Chair Side Bend,6.5,11.0,,Dariau su desine,0.3,16.56,14.2
2025-10-02,55.2,Roman Chair Side Bend,8.0,15.0,,,0.3,16.56,19.4
2025-10-02,55.2,Roman Chair Side Bend,4.0,11.0,,,0.3,16.56,10.8
2025-10-02,55.2,Roman Chair Side Bend,,9.0,,,0.3,16.56,4.4
2025-10-02,55.2,Smith Machine Single Leg Deadlift,30.0,10.0,,,0.2,11.040000000000001,42.3
2025-10-02,55.2,Smith Machine Single Leg Deadlift,30.0,10.0,,,0.2,11.040000000000001,42.3
2025-10-02,55.2,Smith Machine Incline Close Grip Push Up,,7.0,,3,1.0,55.2,11.0
2025-10-02,55.2,Smith Machine Incline Close Grip Push Up,,3.0,,"3, 20 cm.",1.0,55.2,3.6
2025-10-02,55.2,Smith Machine Incline Close Grip Push Up,,2.0,,3,1.0,55.2,1.8
2025-10-02,55.2,Smith Machine Incline Close Grip Push Up,,3.0,,4,1.0,55.2,3.6
2025-10-02,55.2,Sled Leg Press,20.0,16.0,,,0.1,5.5200000000000005,32.7
2025-09-25,55.2,Single leg back extension,15.0,11.0,,,0.4,22.080000000000002,27.3
2025-09-25,55.2,Single leg back extension,15.0,15.0,,2 zalios gumos,0.4,22.080000000000002,32.2
2025-09-25,55.2,Single leg back extension,22.5,13.0,,,0.4,22.080000000000002,40.3
2025-09-25,55.2,Roman Chair Side Bend,5.0,10.0,,,0.3,16.56,11.4
2025-09-25,55.2,Roman Chair Side Bend,1.0,20.0,,,0.3,16.56,12.1
2025-09-25,55.2,Push Ups,,1.0,,,1.0,55.2,-0.1
2025-09-25,55.2,Smith Machine Incline Close Grip Push Up,,2.0,,"3, 20 cm.",1.0,55.2,1.8
2025-09-25,55.2,Smith Machine Incline Close Grip Push Up,,3.0,,"3, 10 cm.",1.0,55.2,3.6
2025-09-25,55.2,Smith Machine Incline Close Grip Push Up,,4.0,,3,1.0,55.2,5.5
2025-09-25,55.2,Smith Machine Incline Close Grip Push Up,,7.0,,4,1.0,55.2,11.0
2025-09-25,55.2,Smith Machine Incline Close Grip Push Up,,4.0,,5,1.0,55.2,5.5
2025-09-25,55.2,Smith Machine Squat,27.0,7.0,,,0.6,33.12,39.0
2025-09-25,55.2,Smith Machine Squat,27.0,7.0,,,0.6,33.12,39.0
2025-09-25,55.2,Smith Machine Squat,25.0,8.0,,,0.6,33.12,38.5
2025-09-23,55.2,Single leg back extension,10.0,14.0,,Desine dirbo,0.4,22.080000000000002,23.9
2025-09-23,55.2,Single leg back extension,12.0,12.0,,Kaire dirbo,0.4,22.080000000000002,24.4
2025-09-23,55.2,Single leg back extension,15.0,10.0,,,0.4,22.080000000000002,26.1
2025-09-23,55.2,Roman Chair Side Bend,5.0,10.0,,Dirbo desine,0.3,16.56,11.4
2025-09-23,55.2,Roman Chair Side Bend,10.0,5.0,,Dirbo kaire,0.3,16.56,13.5
2025-09-23,55.2,Leg Extension,40.0,7.0,,,0.05,2.7600000000000002,48.5
2025-09-23,55.2,Leg Extension,30.0,5.0,,,0.05,2.7600000000000002,34.3
2025-09-23,55.2,Leg Extension,20.0,5.0,,,0.05,2.7600000000000002,23.0
2025-09-23,55.2,Smith Machine Incline Close Grip Push Up,,3.0,,"3, 10 cm.kojos",1.0,55.2,3.6
2025-09-23,55.2,Smith Machine Incline Close Grip Push Up,,4.0,,3. 10 cm.,1.0,55.2,5.5
2025-09-23,55.2,Smith Machine Incline Close Grip Push Up,,7.0,,3,1.0,55.2,11.0
2025-09-23,55.2,Smith Machine Incline Close Grip Push Up,,3.0,,4,1.0,55.2,3.6
2025-09-23,55.2,Smith Machine Incline Close Grip Push Up,,7.0,,5,1.0,55.2,11.0
2025-09-23,55.2,Smith Machine Squat,15.0,10.0,,,0.6,33.12,29.4
2025-09-23,55.2,Smith Machine Squat,20.0,5.0,,,0.6,33.12,27.0
2025-09-23,55.2,Smith Machine Squat,15.0,7.0,,,0.6,33.12,24.6
2025-09-23,55.2,Smith Machine Squat,10.0,4.0,,,0.6,33.12,14.3
2025-09-19,55.2,Lying Leg Curl,22.0,3.0,,,0.05,2.7600000000000002,23.6
2025-09-19,55.2,Leg Extension,30.0,5.0,,,0.05,2.7600000000000002,34.3
2025-09-19,55.2,Single leg back extension,1.0,12.0,,,0.4,22.080000000000002,9.4
2025-09-19,55.2,Single leg back extension,7.5,10.0,,,0.4,22.080000000000002,16.3
2025-09-19,55.2,Back Extension,,12.0,,SL,0.4,22.080000000000002,8.1
